label,pair,interval,cost_model,trades_full,net_full,win_full,avg_full,max_dd,avg_mfe,avg_hold,trades_recent,net_recent,win_recent,avg_recent
baseline_tc15_tighter_volume_cap,GIGAUSD,15,maker_mid,5,0.10204504257173018,0.8,0.020409008514346037,-0.01698500000000024,0.03567680507583354,8.0,2,0.0637745468546427,1.0,0.03188727342732135
giga_5m_freqai_mtf_adaptive_union_strongtrend,GIGAUSD,5,maker_mid,16,0.08069519221162423,0.5625,0.0050434495132265144,-0.03368150977500006,0.02050234271355032,7.75,8,0.04208710559975963,0.5,0.005260888199969954
giga_5m_freqai_mtf_adaptive_union_strongtrend_vwapcap,GIGAUSD,5,maker_mid,9,0.06230718352309976,0.5555555555555556,0.006923020391455529,-0.016984999999999962,0.020916642959725708,7.555555555555555,5,0.07510696782544612,0.6,0.015021393565089225
coq_3m_freqai_mtf_momentum_accel,COQUSD,3,maker_mid,8,0.03423732069702754,0.375,0.004279665087128443,-0.034653129376033986,0.03348892854628908,3.875,5,-0.03468767930297217,0.2,-0.006937535860594433
giga_5m_freqai_mtf_adaptive_union,GIGAUSD,5,maker_mid,35,0.012050002211149826,0.37142857142857144,0.0003442857774614236,-0.053555043208901136,0.013307997085614929,6.771428571428571,12,0.05443516386500912,0.4166666666666667,0.0045362636554174265
giga_5m_freqai_mtf_adaptive_union_strongtrend,GIGAUSD,5,maker_optimistic,16,0.11091697632668564,0.6875,0.006932311020417852,-0.03094778037975014,0.021172743233293823,7.8125,8,0.05543574380948742,0.625,0.006929467976185927
baseline_tc15_tighter_volume_cap,GIGAUSD,15,maker_optimistic,5,0.11086452854374788,0.8,0.022172905708749576,-0.015279678758242961,0.03640156141248547,8.0,2,0.06733759673462,1.0,0.03366879836731
giga_5m_freqai_mtf_adaptive_union,GIGAUSD,5,maker_optimistic,35,0.07936452969098774,0.45714285714285713,0.0022675579911710783,-0.04686855623112935,0.013860031710602804,6.8,12,0.07621062982378045,0.5,0.006350885818648371
giga_5m_freqai_mtf_adaptive_union_strongtrend_vwapcap,GIGAUSD,5,maker_optimistic,9,0.079164704616303,0.6666666666666666,0.008796078290700332,-0.015595499999999991,0.021553315830158546,7.555555555555555,5,0.08357289282192647,0.8,0.016714578564385293
coq_3m_freqai_mtf_momentum_accel,COQUSD,3,maker_optimistic,8,0.04809475237518012,0.5,0.006011844046897515,-0.029733934862184147,0.03412468007081406,3.875,5,-0.025082747624819768,0.4,-0.005016549524963954
baseline_tc15_tighter_volume_cap,GIGAUSD,15,taker_like,5,0.07655792414979742,0.8,0.015311584829959484,-0.02115350000000003,0.03350860520477432,8.0,2,0.053097385071346426,1.0,0.026548692535673213
giga_5m_freqai_mtf_adaptive_union_strongtrend_vwapcap,GIGAUSD,5,taker_like,9,0.011805004230310306,0.3333333333333333,0.001311667136701145,-0.03248058262065244,0.01901195587281285,7.555555555555555,5,0.049732752570796235,0.6,0.009946550514159247
coq_3m_freqai_mtf_momentum_accel,COQUSD,3,taker_like,8,-0.003708353598614024,0.375,-0.000463544199826753,-0.058835580915159294,0.03170745877469645,3.375,5,-0.05987585359861373,0.2,-0.011975170719722745
giga_5m_freqai_mtf_adaptive_union_strongtrend,GIGAUSD,5,taker_like,16,-0.009840443867422829,0.375,-0.0006150277417139268,-0.04717523847024415,0.018586976530341213,7.75,8,0.002076505456630205,0.375,0.00025956318207877565
giga_5m_freqai_mtf_adaptive_union,GIGAUSD,5,taker_like,35,-0.18921052033123759,0.2571428571428571,-0.005406014866606788,-0.18624640728255998,0.011777955117241636,6.514285714285714,12,-0.010808800241939422,0.3333333333333333,-0.0009007333534949519
