pair,interval,strategy,trades_full,net_full,win_full,pf_full,dd_full,mfe_full,trades_recent,net_recent,win_recent,pf_recent,score,verdict,cost_model,side_cost_pct
COQUSD,3,freqai_mtf_momentum_accel,8,0.059061982092637466,0.5,1.8178744023684807,-0.0357810711377499,0.030135037388832553,5,0.00356348209263746,0.4,1.065794852201096,0.07195067321422251,KEEP,taker_like,0.0031
COQUSD,3,freqai_mtf_momentum_breakout_trail,4,0.09611560149933152,0.5,3.661965865326156,-0.018053500000000024,0.04101768127464006,3,-0.01283498219967616,0.3333333333333333,0.6445292547241211,0.08488982835992634,KILL,taker_like,0.0031
GIGAUSD,3,freqai_mtf_volume_spike_trend,8,0.012752004577385567,0.625,1.2821964171642632,-0.025380181662339147,0.01417650794525352,3,0.02826743280695898,0.6666666666666666,2.8766386599409874,0.05801802814616098,KILL,taker_like,0.0031
COQUSD,3,freqai_mtf_higher_low_structure,6,0.0352502596804819,0.5,2.130791832030139,-0.015062800000000017,0.03233516542469328,4,0.009490735645486303,0.5,1.3150388920216143,0.056969663176169055,KILL,taker_like,0.0031
COQUSD,3,adaptive_higher_low,4,0.023488400000000076,0.5,1.898630346621776,-0.013068999999999945,0.04195733081142228,2,0.011744200000000093,0.5,1.898630346621784,0.04647438578758657,KILL,taker_like,0.0031
COQUSD,5,adaptive_higher_low,4,0.023488400000000076,0.5,1.8986303466217835,-0.013069000000000002,0.01944583417066964,3,-0.0013248000000000149,0.3333333333333333,0.9493151733108876,0.026870885787586445,KILL,taker_like,0.0031
COQUSD,3,freqai_mtf_rsi_thrust,2,0.005885182092637331,0.5,1.3907097015586316,0.0,0.012061381328436815,2,0.005885182092637331,0.5,1.3907097015586316,0.0163472385630405,KILL,taker_like,0.0031
GIGAUSD,3,adaptive_pullback_resume,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,taker_like,0.0031
DOGUSD,3,freqai_mtf_triple_confluence,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,taker_like,0.0031
DOGUSD,3,adaptive_breakout_trail,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,taker_like,0.0031
DOGUSD,3,adaptive_pullback_resume,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,taker_like,0.0031
COQUSD,3,freqai_mtf_triple_confluence,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,taker_like,0.0031
COQUSD,3,adaptive_breakout_trail,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,taker_like,0.0031
COQUSD,3,adaptive_pullback_resume,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,taker_like,0.0031
COQUSD,3,adaptive_regime_switch,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,taker_like,0.0031
HYPEUSD,3,adaptive_breakout_trail,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,taker_like,0.0031
HYPEUSD,3,adaptive_pullback_resume,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,taker_like,0.0031
GIGAUSD,5,adaptive_pullback_resume,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,taker_like,0.0031
DOGUSD,5,adaptive_breakout_trail,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,taker_like,0.0031
DOGUSD,5,adaptive_volume_spike_leader,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,taker_like,0.0031
DOGUSD,5,adaptive_pullback_resume,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,taker_like,0.0031
DOGUSD,5,adaptive_consensus2,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,taker_like,0.0031
