construction,pair,entry_bar,entry_ts,entry_price,exit_bar,exit_ts,exit_price,exit_reason,pnl_pct,mfe_pct,bars_held,signal_score,trend_strength,pullback_depth_pct,distance_from_vwap,compression_ratio,strategy
tc15_tighter_volume_cap,GIGAUSD,431,1770370200,0.0022760339,443,1770382800,0.00237108221368095,TAKE_PROFIT,0.03866050000000003,0.04611798620398394,12,40.92228249541571,0.02196962621179078,-0.005762411347517726,0.1309941777031398,1.0214285714285674,baseline_tc15_tighter_volume_cap
tc15_tighter_volume_cap,GIGAUSD,1061,1771146000,0.0025097561999999998,1063,1771149600,0.0024644463164433,STOP_LOSS,-0.02115349999999997,0.004480036746198707,2,83.54002720326018,0.005737711142647974,-0.0008003201280513267,0.009630343854095067,0.6648793565683683,baseline_tc15_tighter_volume_cap
tc15_tighter_volume_cap,GIGAUSD,1770,1772037000,0.0022248757999999997,1781,1772046900,0.0022450188,TREND_LOST,0.005953539078451142,0.029270937281083396,11,66.76339219954748,0.011703816571990842,0.0004508566275924855,0.03325236663987999,0.39493670886076365,baseline_tc15_tighter_volume_cap
tc15_tighter_volume_cap,GIGAUSD,3401,1774692000,0.0018296544,3404,1774694700,0.0019060616825711998,TAKE_PROFIT,0.038660499999999924,0.05484401862996649,3,37.255891511776454,0.008194561322655182,-0.005512679162072782,-0.03963118915989884,0.7239488117001839,baseline_tc15_tighter_volume_cap
tc15_tighter_volume_cap,GIGAUSD,3560,1774850400,0.0021436246999999996,3572,1774862100,0.0021812171999999997,TIME_LIMIT,0.014436885071346722,0.032830047162640104,12,36.867825043121265,0.004922413531219063,0.003267973856208977,0.02013646582476686,0.4840764331210142,baseline_tc15_tighter_volume_cap
leader_breakout_15,GIGAUSD,176,1770048000,0.0025879979999999993,181,1770053400,0.0026397912000000003,TIME_LIMIT,0.016912843904825663,0.023184716526056377,5,119.1434216113387,0.02011413429708337,0.0007748934521502642,0.04836993793351343,1.1757188498402507,leader_breakout_15
leader_breakout_15,HYPEUSD,290,1770084000,35.499708999999996,295,1770088500,36.5221290189672,TAKE_PROFIT,0.025700800000000093,0.034656368591641167,5,159.49904910648746,0.02034203836648903,0.00789177001127379,0.014754080591937816,1.1867298578199055,leader_breakout_15
leader_breakout_15,HYPEUSD,297,1770090300,37.746652999999995,302,1770094800,37.1780827151916,STOP_LOSS,-0.018162799999999868,0.01624904332577526,5,143.85684441495363,0.035576201249518054,0.014428121720881353,0.03826587473574884,1.4012738853503166,leader_breakout_15
leader_breakout_15,GIGAUSD,233,1770123600,0.0026642335999999996,238,1770128100,0.0026677044,TIME_LIMIT,-0.0017972613812841027,0.007794511712486595,5,121.76830115679134,0.0036694636500392416,0.0003767897513188141,0.007368958604732548,0.9613733905579366,leader_breakout_15
leader_breakout_15,ADAUSD,347,1770134400,0.30446793369999997,347,1770134400,0.2998817941082636,STOP_LOSS,-0.018162800000000038,0.0,0,102.12310685104714,0.0029081816828920907,0.016135706778770183,0.003994885740097262,2.290731852513299,leader_breakout_15
leader_breakout_15,ADAUSD,415,1770195600,0.30270147459999996,417,1770197400,0.29814194282839507,STOP_LOSS,-0.018162800000000055,0.0,2,81.29215184081525,0.0030756607578466245,0.004556992186595153,0.006548532415084833,0.9486758846965007,leader_breakout_15
leader_breakout_15,HYPEUSD,577,1770343200,36.282126999999996,577,1770343200,35.7356165774244,STOP_LOSS,-0.018162799999999826,0.01978585764831275,0,63.76855226338856,0.02604273298023907,0.03096984515077426,0.0512013935251012,1.3469958081043327,leader_breakout_15
leader_breakout_15,GIGAUSD,433,1770372000,0.0023131485999999995,438,1770378300,0.0023078235,TIME_LIMIT,-0.0054021002628191015,0.006420426253635742,5,116.97754780468591,0.02500100133934888,0.015886646629454576,0.12492386298791079,1.2444444444444405,leader_breakout_15
leader_breakout_15,XRPUSD,623,1770383700,1.4121340869999999,623,1770383700,1.3908633936743362,STOP_LOSS,-0.018162800000000052,0.0,0,82.4840184437414,0.019406310970479453,0.014872340425531868,0.0927400191173719,1.0540944843893247,leader_breakout_15
leader_breakout_15,XRPUSD,625,1770385500,1.438635989,626,1770386400,1.4169661028248908,STOP_LOSS,-0.01816280000000002,0.0004893600642435061,1,78.83763344657747,0.02395973943469085,0.011020833333333369,0.10784716981583928,1.2448612597027175,leader_breakout_15
leader_breakout_15,ADAUSD,630,1770390000,0.27194040999999997,635,1770394500,0.2775020685,TIME_LIMIT,0.01735175448547721,0.02764425485715793,5,101.03185491967146,0.013794160952221102,0.011190932663420017,0.05263299872410999,1.315768888888891,leader_breakout_15
leader_breakout_15,GIGAUSD,496,1770436800,0.0025087531,500,1770443100,0.00247096425380532,STOP_LOSS,-0.018162799999999937,0.0008956242047096327,4,44.23224281966792,0.003882261443562647,-0.006438631790744624,0.023855856322159016,0.8704318936877068,leader_breakout_15
