pair,candidate,signals,fills,missed_entries,fill_rate,trades_full,net_full,win_full,avg_full,max_dd,avg_mfe,avg_hold,trades_recent,net_recent,win_recent,avg_recent,verdict,cost_model
GIGAUSD,baseline_tc15_tighter_volume_cap,5,5,0,1.0,5,0.07655792414979742,0.8,0.015311584829959484,-0.02115350000000003,0.03350860520477432,8.0,2,0.053097385071346426,1.0,0.026548692535673213,BASELINE,baseline_taker_ref
DOGUSD,ema_reclaim_strong__flat__runner,2,1,1,0.5,1,0.027970000000000026,1.0,0.027970000000000026,0.0,0.09199789007420955,1.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
DOGUSD,ema_reclaim_strong__5bps__runner,2,1,1,0.5,1,0.027970000000000026,1.0,0.027970000000000026,0.0,0.09199789007420955,1.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
DOGUSD,ema_reclaim_strong__10bps__runner,2,1,1,0.5,1,0.027970000000000026,1.0,0.027970000000000026,0.0,0.09199789007420955,1.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
DOGUSD,ema_reclaim_strong__flat__quick,2,1,1,0.5,1,0.019977999999999926,1.0,0.019977999999999926,0.0,0.09199789007420955,1.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
DOGUSD,ema_reclaim_strong__5bps__quick,2,1,1,0.5,1,0.019977999999999926,1.0,0.019977999999999926,0.0,0.09199789007420955,1.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
DOGUSD,ema_reclaim_strong__10bps__quick,2,1,1,0.5,1,0.019977999999999926,1.0,0.019977999999999926,0.0,0.09199789007420955,1.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
DOGUSD,ema_reclaim__flat__runner,8,4,4,0.5,4,0.019329451869674975,0.25,0.004832362967418744,-0.008616238143362506,0.025450539227425635,1.75,3,-0.008640548130325054,0.0,-0.0028801827101083513,KILL,maker_mid_passive_0.0010
DOGUSD,score_filtered_ema__flat__runner,8,4,4,0.5,4,0.019329451869674975,0.25,0.004832362967418744,-0.008616238143362506,0.025450539227425635,1.75,3,-0.008640548130325054,0.0,-0.0028801827101083513,KILL,maker_mid_passive_0.0010
DOGUSD,ema_reclaim__10bps__runner,8,4,4,0.5,4,0.017882917987400493,0.25,0.004470729496850123,-0.010054620618759986,0.025450789227675664,1.75,3,-0.010087082012599533,0.0,-0.003362360670866511,KILL,maker_mid_passive_0.0010
DOGUSD,score_filtered_ema__10bps__runner,8,4,4,0.5,4,0.017882917987400493,0.25,0.004470729496850123,-0.010054620618759986,0.025450789227675664,1.75,3,-0.010087082012599533,0.0,-0.003362360670866511,KILL,maker_mid_passive_0.0010
DOGUSD,ema_reclaim__5bps__runner,8,4,4,0.5,4,0.017384390991842885,0.25,0.004346097747960721,-0.010550338349750905,0.025450539227425635,1.75,3,-0.010585609008157143,0.0,-0.003528536336052381,KILL,maker_mid_passive_0.0010
DOGUSD,score_filtered_ema__5bps__runner,8,4,4,0.5,4,0.017384390991842885,0.25,0.004346097747960721,-0.010550338349750905,0.025450539227425635,1.75,3,-0.010585609008157143,0.0,-0.003528536336052381,KILL,maker_mid_passive_0.0010
COQUSD,ema_reclaim__flat__runner,2,2,0,1.0,2,0.01598000000000007,0.5,0.007990000000000035,-0.011989999999999976,0.017029715971127193,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,score_filtered_ema__flat__runner,2,2,0,1.0,2,0.01598000000000007,0.5,0.007990000000000035,-0.011989999999999976,0.017029715971127193,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,hybrid_support__5bps__runner,2,2,0,1.0,2,0.015980000000000008,0.5,0.007990000000000004,-0.011989999999999976,0.01656946745592592,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,ema_reclaim__5bps__runner,2,2,0,1.0,2,0.015979999999999987,0.5,0.007989999999999994,-0.011989999999999976,0.017287855089819257,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,vwap_reclaim__flat__runner,2,2,0,1.0,2,0.015979999999999987,0.5,0.007989999999999994,-0.011989999999999976,0.018895742679848927,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,score_filtered_ema__5bps__runner,2,2,0,1.0,2,0.015979999999999987,0.5,0.007989999999999994,-0.011989999999999976,0.017287855089819257,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,hybrid_support__flat__runner,2,2,0,1.0,2,0.01597999999999996,0.5,0.00798999999999998,-0.011989999999999976,0.016061182722198027,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,vwap_reclaim__5bps__runner,2,2,0,1.0,2,0.015979999999999904,0.5,0.007989999999999952,-0.011989999999999976,0.019153881798540988,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
DOGUSD,ema_reclaim__flat__quick,8,4,4,0.5,4,0.011337451869674874,0.25,0.0028343629674187185,-0.008616238143362535,0.025450539227425635,1.75,3,-0.008640548130325054,0.0,-0.0028801827101083513,KILL,maker_mid_passive_0.0010
DOGUSD,score_filtered_ema__flat__quick,8,4,4,0.5,4,0.011337451869674874,0.25,0.0028343629674187185,-0.008616238143362535,0.025450539227425635,1.75,3,-0.008640548130325054,0.0,-0.0028801827101083513,KILL,maker_mid_passive_0.0010
DOGUSD,ema_reclaim__10bps__quick,8,4,4,0.5,4,0.009890917987400395,0.25,0.0024727294968500987,-0.010054620618759905,0.025450789227675664,1.75,3,-0.010087082012599533,0.0,-0.003362360670866511,KILL,maker_mid_passive_0.0010
DOGUSD,score_filtered_ema__10bps__quick,8,4,4,0.5,4,0.009890917987400395,0.25,0.0024727294968500987,-0.010054620618759905,0.025450789227675664,1.75,3,-0.010087082012599533,0.0,-0.003362360670866511,KILL,maker_mid_passive_0.0010
GIGAUSD,ema_reclaim__10bps__runner,6,4,2,0.6666666666666666,4,0.009850484202885326,0.5,0.0024626210507213316,-0.0008658363614379886,0.008385942868299766,6.0,1,-0.0008658363614379916,0.0,-0.0008658363614379916,KILL,maker_mid_passive_0.0010
GIGAUSD,score_filtered_ema__10bps__runner,6,4,2,0.6666666666666666,4,0.009850484202885326,0.5,0.0024626210507213316,-0.0008658363614379886,0.008385942868299766,6.0,1,-0.0008658363614379916,0.0,-0.0008658363614379916,KILL,maker_mid_passive_0.0010
GIGAUSD,ema_reclaim__5bps__runner,6,4,2,0.6666666666666666,4,0.009057773221963602,0.5,0.0022644433054909005,-0.0008658363614379024,0.00818663645478281,6.0,1,-0.0008658363614379916,0.0,-0.0008658363614379916,KILL,maker_mid_passive_0.0010
GIGAUSD,score_filtered_ema__5bps__runner,6,4,2,0.6666666666666666,4,0.009057773221963602,0.5,0.0022644433054909005,-0.0008658363614379024,0.00818663645478281,6.0,1,-0.0008658363614379916,0.0,-0.0008658363614379916,KILL,maker_mid_passive_0.0010
COQUSD,vwap_reclaim__5bps__quick,2,2,0,1.0,2,0.008987000000000144,0.5,0.004493500000000072,-0.010990999999999867,0.019153881798540988,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,vwap_reclaim__flat__quick,2,2,0,1.0,2,0.008987000000000113,0.5,0.0044935000000000565,-0.010990999999999867,0.018895742679848927,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,ema_reclaim__5bps__quick,2,2,0,1.0,2,0.008987000000000068,0.5,0.004493500000000034,-0.010990999999999867,0.017287855089819257,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,score_filtered_ema__5bps__quick,2,2,0,1.0,2,0.008987000000000068,0.5,0.004493500000000034,-0.010990999999999867,0.017287855089819257,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,hybrid_support__5bps__quick,2,2,0,1.0,2,0.008987000000000061,0.5,0.0044935000000000305,-0.010990999999999867,0.01656946745592592,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,ema_reclaim__flat__quick,2,2,0,1.0,2,0.008987000000000037,0.5,0.004493500000000018,-0.010990999999999867,0.017029715971127193,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,score_filtered_ema__flat__quick,2,2,0,1.0,2,0.008987000000000037,0.5,0.004493500000000018,-0.010990999999999867,0.017029715971127193,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,hybrid_support__flat__quick,2,2,0,1.0,2,0.008986999999999988,0.5,0.004493499999999994,-0.010991000000000086,0.016061182722198027,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
GIGAUSD,ema_reclaim_strong__5bps__runner,1,1,0,1.0,1,0.008745914030731331,1.0,0.008745914030731331,0.0,0.010756670701432712,8.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
GIGAUSD,ema_reclaim_strong__10bps__runner,1,1,0,1.0,1,0.008745914030731331,1.0,0.008745914030731331,0.0,0.010756670701432712,8.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
GIGAUSD,ema_reclaim__10bps__quick,6,4,2,0.6666666666666666,4,0.005494057622107315,0.75,0.0013735144055268289,0.0,0.0076999089289096125,4.5,1,0.0016357498407596422,1.0,0.0016357498407596422,KILL,maker_mid_passive_0.0010
GIGAUSD,score_filtered_ema__10bps__quick,6,4,2,0.6666666666666666,4,0.005494057622107315,0.75,0.0013735144055268289,0.0,0.0076999089289096125,4.5,1,0.0016357498407596422,1.0,0.0016357498407596422,KILL,maker_mid_passive_0.0010
GIGAUSD,ema_reclaim__5bps__quick,6,4,2,0.6666666666666666,4,0.004701577472767431,0.75,0.0011753943681918578,0.0,0.007500602515392656,4.5,1,0.0016357498407596422,1.0,0.0016357498407596422,KILL,maker_mid_passive_0.0010
GIGAUSD,score_filtered_ema__5bps__quick,6,4,2,0.6666666666666666,4,0.004701577472767431,0.75,0.0011753943681918578,0.0,0.007500602515392656,4.5,1,0.0016357498407596422,1.0,0.0016357498407596422,KILL,maker_mid_passive_0.0010
DOGUSD,ema_reclaim__5bps__quick,8,4,4,0.5,4,0.0033444538676768755,0.25,0.0008361134669192189,-0.016564194560313765,0.025450539227425635,1.75,3,-0.016633546132323054,0.0,-0.005544515377441018,KILL,maker_mid_passive_0.0010
DOGUSD,score_filtered_ema__5bps__quick,8,4,4,0.5,4,0.0033444538676768755,0.25,0.0008361134669192189,-0.016564194560313765,0.025450539227425635,1.75,3,-0.016633546132323054,0.0,-0.005544515377441018,KILL,maker_mid_passive_0.0010
GIGAUSD,ema_reclaim_strong__5bps__quick,1,1,0,1.0,1,0.0023493335798578665,1.0,0.0023493335798578665,0.0,0.008012534943872095,6.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
GIGAUSD,ema_reclaim_strong__10bps__quick,1,1,0,1.0,1,0.0023493335798578665,1.0,0.0023493335798578665,0.0,0.008012534943872095,6.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
GIGAUSD,ema_reclaim__flat__quick,6,3,3,0.5,3,0.0018481506528410067,0.6666666666666666,0.0006160502176136689,0.0,0.007161066598518495,4.0,1,0.0016357498407596422,1.0,0.0016357498407596422,KILL,maker_mid_passive_0.0010
GIGAUSD,score_filtered_ema__flat__quick,6,3,3,0.5,3,0.0018481506528410067,0.6666666666666666,0.0006160502176136689,0.0,0.007161066598518495,4.0,1,0.0016357498407596422,1.0,0.0016357498407596422,KILL,maker_mid_passive_0.0010
GIGAUSD,ema_reclaim_strong__flat__quick,1,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
GIGAUSD,ema_reclaim_strong__flat__runner,1,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
GIGAUSD,inside_resume__flat__quick,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
GIGAUSD,inside_resume__flat__runner,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
GIGAUSD,inside_resume__5bps__quick,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
GIGAUSD,inside_resume__5bps__runner,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
GIGAUSD,inside_resume__10bps__quick,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
GIGAUSD,inside_resume__10bps__runner,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
DOGUSD,inside_resume__flat__quick,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
DOGUSD,inside_resume__flat__runner,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
DOGUSD,inside_resume__5bps__quick,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
DOGUSD,inside_resume__5bps__runner,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
