construction,exit_profile,trades_full,net_full,avg_full,win_full,trades_recent,net_recent,avg_recent,win_recent,score
fast_union,baseline,58,0.30515770578571666,0.00526133975492615,0.5,30,0.3362451353496405,0.01120817117832135,0.6333333333333333,0.9255254088101774
fast_union,hybrid,64,0.3899573413563179,0.006093083458692467,0.640625,34,0.20885100844823956,0.006142676719065869,0.6764705882352942,0.8312338540286772
trend_gate,baseline,47,0.23990261269959945,0.005104310908502116,0.48936170212765956,24,0.2861284138361817,0.011922017243174238,0.6666666666666666,0.763095233453872
fast_union,trail,61,0.2970568948751444,0.004869785161887613,0.639344262295082,32,0.2110878040288484,0.006596493875901513,0.71875,0.735688600918417
trend_gate,hybrid,52,0.3106076643230056,0.005973224313903953,0.6346153846153846,27,0.20661334806240728,0.007652346224533603,0.7037037037037037,0.7245276864166165
fast_union,tight,61,0.25983020876063856,0.004259511619026862,0.4918032786885246,32,0.22286175462179347,0.006964429831931046,0.59375,0.7161228406933288
breakout_stack,hybrid,54,0.3729612155160277,0.006906689176222735,0.6666666666666666,30,0.14047049220852093,0.004682349740284031,0.6333333333333333,0.691666953828809
strong_trend_gate,hybrid,43,0.33773050249388514,0.007854197732415934,0.6976744186046512,25,0.16439694230833113,0.006575877692333245,0.68,0.6703259159563818
strong_trend_gate,baseline,38,0.2559693422355014,0.006736035321986879,0.5526315789473685,22,0.18098707977337547,0.00822668544424434,0.6363636363636364,0.6034499618955645
trend_gate,tight,50,0.19848138576794938,0.003969627715358987,0.5,26,0.2013300548574275,0.007743463648362596,0.6153846153846154,0.6004764680540906
strong_trend_gate,trail,41,0.25894456514334463,0.006315721101057186,0.6829268292682927,24,0.16596644149239015,0.0069152683955162565,0.7083333333333334,0.5898942273819298
breakout_stack,trail,51,0.280708910156212,0.005504096277572785,0.6470588235294118,28,0.13794523216143517,0.0049266154343369705,0.6428571428571429,0.5896267583983648
trend_gate,trail,50,0.18897007875243055,0.003779401575048611,0.62,26,0.18750529232222757,0.007211742012393368,0.7307692307692307,0.5702280172357719
consensus_2_all,baseline,21,0.24784084400149542,0.011801944952452162,0.6666666666666666,14,0.1809793364119605,0.01292709545799718,0.7142857142857143,0.5613098486194362
strong_trend_gate,tight,40,0.2142344701329616,0.00535586175332404,0.55,23,0.16390960851508585,0.007126504718047211,0.6086956521739131,0.5400988829055904
breakout_stack,tight,51,0.21247809510970284,0.004166237159013781,0.49019607843137253,28,0.13542439208334878,0.0048365854315481705,0.5357142857142857,0.517614683234726
breakout_stack,baseline,48,0.1909180572757183,0.003977459526577465,0.5,26,0.15018344688625185,0.005776286418701994,0.5769230769230769,0.5121932276050961
high_tf_gate,baseline,13,0.19516253169827658,0.015012502438328967,0.6153846153846154,9,0.11743656997807739,0.013048507775341932,0.6666666666666666,0.3973173866653927
consensus_2_all,trail,22,0.16757470582172174,0.007617032082805533,0.8636363636363636,14,0.08635201821975691,0.006168001301411208,0.7857142857142857,0.3411027331513571
high_tf_gate,tight,13,0.14655694953626708,0.011273611502789774,0.6153846153846154,9,0.09999218125151665,0.011110242361279629,0.6666666666666666,0.3225452214135421
consensus_2_all,tight,21,0.1409787502416091,0.006713273821029005,0.5238095238095238,14,0.08438905079041625,0.006027789342172589,0.5714285714285714,0.30956232642723347
volume_stack,baseline,12,0.1534020316982767,0.012783502641523059,0.5833333333333334,8,0.07567606997807752,0.00945950874725969,0.625,0.290916136665393
high_tf_gate,hybrid,14,0.1244787228863452,0.008891337349024657,0.7857142857142857,9,0.07434888074577806,0.008260986749530895,0.7777777777777778,0.2640020440050123
volume_stack,tight,12,0.11974994953626705,0.009979162461355587,0.5833333333333334,8,0.07318518125151663,0.009148147656439579,0.625,0.253527721413542
high_tf_gate,trail,14,0.12361427343507647,0.00882959095964832,0.8571428571428571,9,0.06597938948405213,0.007331043276005793,0.7777777777777778,0.2505833576611547
volume_stack,hybrid,13,0.11539415165082267,0.008876473203909437,0.7692307692307693,8,0.06526430951025552,0.00815803868878194,0.75,0.23929061591620596
volume_stack,trail,13,0.11656414689962569,0.008966472838432745,0.8461538461538461,8,0.058929262948601346,0.007366157868575168,0.75,0.2309580413225277
consensus_2_all,hybrid,22,0.12162994860881327,0.00552863402767333,0.7272727272727273,14,0.041804044628111825,0.002986003187722273,0.6428571428571429,0.228336015550981
baseline_15m_exec,baseline,7,0.06789207564849642,0.009698867949785204,0.7142857142857143,6,0.05874408480571325,0.009790680800952209,0.6666666666666666,0.1700082028570663
