construction,exit_profile,trades_full,net_full,avg_full,win_full,trades_recent,net_recent,avg_recent,win_recent,score
fast_union,baseline,62,0.017666287076639864,0.00028494011413935267,0.3870967741935484,32,0.13364402462660763,0.004176375769581488,0.46875,0.3421323240165513
trend_gate,hybrid,49,0.0012027788794420902,2.4546507743716126e-05,0.4897959183673469,26,0.05597193672341083,0.002152766797054263,0.5769230769230769,0.18316068396455834
baseline_15m_exec,baseline,8,0.06555178071684287,0.008193972589605358,0.75,7,0.059065168473199314,0.008437881210457045,0.7142857142857143,0.17014953342664185
trend_gate,baseline,45,-0.03586900278517413,-0.0007970889507816474,0.4,25,0.05331012766333654,0.0021324051065334613,0.48,0.13409618870983067
breakout_stack,baseline,52,-0.022535470301147553,-0.0004333744288682222,0.40384615384615385,29,0.025582495365087277,0.0008821550125892165,0.4482758620689655,0.11983827274648337
high_tf_gate,baseline,28,-0.029130201769204778,-0.0010403643489001707,0.35714285714285715,15,0.05858581773168481,0.0039057211821123205,0.4666666666666667,0.11474852482832243
consensus_2_all,baseline,34,-0.03732868360257524,-0.0010979024588992719,0.38235294117647056,19,0.051413890468119394,0.0027059942351641787,0.47368421052631576,0.10779215209960386
volume_stack,baseline,25,-0.021556458479242258,-0.0008622583391696903,0.36,13,0.048106061021647384,0.003700466232434414,0.46153846153846156,0.10060263305322882
fast_union,hybrid,68,-0.04847250004060599,-0.0007128308829500882,0.47058823529411764,35,0.007952461745869055,0.00022721319273911585,0.5428571428571428,0.0994561925781976
strong_trend_gate,hybrid,44,-0.03397733825446947,-0.0007722122330561243,0.4772727272727273,23,0.0109251900621683,0.00047500826357253475,0.5217391304347826,0.07041044683878298
consensus_2_all,hybrid,35,-0.04239425048536316,-0.0012112642995818045,0.45714285714285713,19,0.025664363680399038,0.0013507559831788967,0.5263157894736842,0.0661022950352354
trend_gate,trail,46,-0.08101557576062068,-0.0017612081687091454,0.4782608695652174,25,0.03542649573261514,0.0014170598293046055,0.6,0.06412416783830202
consensus_2_all,trail,34,-0.07268066463357314,-0.002137666606869798,0.5,18,0.03319871932378138,0.001844373295765632,0.6111111111111112,0.04511741435209893
breakout_stack,hybrid,56,-0.05632929797454511,-0.00100588032097402,0.4642857142857143,29,-0.008700899242690019,-0.00030003100836862136,0.5172413793103449,0.04261935316141986
fast_union,tight,65,-0.11097745875592702,-0.001707345519321954,0.36923076923076925,33,0.011532804320939394,0.0003494789188163453,0.45454545454545453,0.03632174772548208
strong_trend_gate,baseline,41,-0.06628034840007435,-0.0016165938634164476,0.36585365853658536,23,0.011893845129181568,0.0005171237012687638,0.43478260869565216,0.033560419293698004
fast_union,trail,65,-0.10529352551758808,-0.0016199003925782781,0.46153846153846156,34,-0.00340527101770427,-0.00010015502993247853,0.5294117647058824,0.019598567955855517
volume_stack,tight,25,-0.050229500617135936,-0.0020091800246854375,0.4,13,0.00250340192451759,0.00019256937880904538,0.46153846153846156,0.0035256022696404515
trend_gate,tight,47,-0.09920450550564097,-0.002110734159694489,0.3829787234042553,25,0.002497246187260438,9.988984749041752e-05,0.48,-0.0014586362247503148
strong_trend_gate,trail,41,-0.09577586782054848,-0.0023359967761109384,0.4878048780487805,22,0.0026059796108560684,0.00011845361867527584,0.5909090909090909,-0.009866898404264371
high_tf_gate,tight,28,-0.07725914731804706,-0.0027592552613588234,0.35714285714285715,15,-0.009463444776393493,-0.0006308963184262328,0.4,-0.0354543144826373
strong_trend_gate,tight,42,-0.11215186609203476,-0.0026702825260008275,0.40476190476190477,23,-0.023723566695421083,-0.0010314594215400472,0.4782608695652174,-0.06373721613516638
breakout_stack,trail,54,-0.10246298821983335,-0.0018974627448117287,0.46296296296296297,29,-0.04720995264114136,-0.0016279294014186676,0.4827586206896552,-0.0652779171815454
volume_stack,hybrid,26,-0.08501177058979958,-0.0032696834842230607,0.4230769230769231,13,-0.023209035142271905,-0.0017853103955593774,0.46153846153846156,-0.06782532330320744
consensus_2_all,tight,34,-0.10471008334815912,-0.003079708333769386,0.35294117647058826,19,-0.022081005283883237,-0.00116215817283596,0.42105263157894735,-0.06983159127398397
high_tf_gate,hybrid,29,-0.09734480727373507,-0.003356717492197761,0.41379310344827586,15,-0.020479271826207346,-0.001365284788413823,0.4666666666666667,-0.07006371501304609
high_tf_gate,trail,28,-0.13454858097007683,-0.0048053064632170295,0.42857142857142855,14,-0.0037824290144646833,-0.0002701735010331917,0.5714285714285714,-0.08422222449177386
volume_stack,trail,26,-0.13225619487062046,-0.005086776725793094,0.4230769230769231,13,-0.01954354291500826,-0.0015033494550006354,0.5384615384615384,-0.10957150924313284
breakout_stack,tight,55,-0.1744770236304123,-0.0031723095205529505,0.36363636363636365,29,-0.05018220944105478,-0.0017304210152087856,0.4482758620689655,-0.13975033779199447
