pair,interval,strategy,trades_full,net_full,win_full,dd_full,trades_recent,net_recent,win_recent,score,keep
GIGAUSD,5,momentum_breakout_trail,45,-0.038388282432919474,0.4888888888888889,-0.1467793954483794,22,0.107206737322591,0.5909090909090909,0.11918190824204974,False
COQUSD,1,momentum_breakout_trail,48,-0.0024948769945257743,0.375,-0.11472321562685081,18,0.04522334072993894,0.5555555555555556,0.06522205343768744,False
DOGUSD,5,atr_squeeze_expand,16,-0.01928194600708033,0.4375,-0.058903491129702695,9,0.04943423091350374,0.6666666666666666,0.052110927472844466,False
COQUSD,5,bb_lower_bounce,1,0.014844199999999974,1.0,0.0,1,0.014844199999999974,1.0,0.037110499999999935,False
GIGAUSD,3,vwap_reclaim_trend,6,0.002528984702047654,0.5,-0.014862818604387663,3,0.01907811117314928,1.0,0.03244184728878458,False
HYPEUSD,3,momentum_breakout,7,0.030592696839685685,0.42857142857142855,-0.013132904257607377,2,-0.013143010445385794,0.0,0.017313769219054677,False
COQUSD,5,volume_climax_reversal,1,0.01683800000000013,1.0,0.0,0,0.0,0.0,0.01683800000000013,False
DOGUSD,1,breakout_asymmetric,1,0.012729038922258518,1.0,0.0,0,0.0,0.0,0.012729038922258518,False
GIGAUSD,3,rsi_oversold_trend,1,0.00874680388837401,1.0,0.0,0,0.0,0.0,0.00874680388837401,False
HYPEUSD,3,atr_squeeze_expand,5,0.006442166049636322,0.6,-0.005885499379857219,1,-0.002900075282115666,0.0,0.0068061531285575,False
GIGAUSD,1,vwap_reclaim_trend,3,1.579503570481311e-05,0.3333333333333333,-0.006180839397866611,2,0.0009154698120141802,0.5,0.0014026418089798259,False
GIGAUSD,1,macd_trend_long,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
GIGAUSD,1,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
GIGAUSD,3,macd_trend_long,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
GIGAUSD,3,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
GIGAUSD,5,macd_trend_long,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
GIGAUSD,5,rsi_oversold_trend,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
GIGAUSD,5,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
DOGUSD,1,rsi_oversold_trend,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
DOGUSD,1,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
DOGUSD,3,macd_trend_long,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
DOGUSD,3,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
DOGUSD,5,macd_trend_long,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
DOGUSD,5,rsi_oversold_trend,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
DOGUSD,5,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
DOGUSD,5,breakout_asymmetric,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
COQUSD,1,macd_trend_long,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
COQUSD,1,vwap_reclaim_trend,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
COQUSD,1,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
COQUSD,3,macd_trend_long,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
COQUSD,3,rsi_oversold_trend,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
COQUSD,3,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
COQUSD,5,rsi_oversold_trend,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
COQUSD,5,vwap_reclaim_trend,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
COQUSD,5,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
HYPEUSD,1,macd_trend_long,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
HYPEUSD,1,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
HYPEUSD,1,breakout_asymmetric,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
HYPEUSD,3,rsi_oversold_trend,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
HYPEUSD,3,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
HYPEUSD,5,macd_trend_long,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
HYPEUSD,5,rsi_oversold_trend,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
HYPEUSD,5,dip_buy_confluence,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
COQUSD,1,breakout_asymmetric,8,-0.017460776950726786,0.25,-0.03869683588600748,3,0.012691086354041259,0.3333333333333333,-0.0014141978164135078,False
