cost_model,pair,interval,strategy,trades_full,net_full,trades_recent,net_recent,score,keep
taker_like,GIGAUSD,1,momentum_breakout,14,-0.10706045982521184,9,-0.07666624779678555,-0.25788797417979953,False
taker_like,GIGAUSD,1,momentum_breakout_trail,47,-0.19871858811052068,22,-0.055509962582529715,-0.30286835703335035,False
taker_like,GIGAUSD,1,macd_trend_long,0,0.0,0,0.0,0.0,False
taker_like,GIGAUSD,1,rsi_momentum_thrust,84,-0.47772032344390514,38,-0.22451788875824163,-0.8681868174205459,False
taker_like,GIGAUSD,1,rsi_oversold_trend,1,-0.013068999999999997,1,-0.013068999999999997,-0.03267249999999999,False
taker_like,GIGAUSD,1,bb_lower_bounce,12,-0.07612117259006779,6,-0.04182114339981191,-0.1693477443903469,False
taker_like,GIGAUSD,1,deep_vwap_pullback,50,-0.24479194032321894,23,-0.13760338693711782,-0.4878653674219971,False
taker_like,GIGAUSD,1,ema_fast_bounce,85,-0.3681213275505737,40,-0.19354058063062685,-0.6999875875172183,False
taker_like,GIGAUSD,1,red_streak_reversal,21,-0.13666055202648786,7,-0.0633195411562344,-0.27932327537322066,False
taker_like,GIGAUSD,1,bb_squeeze_breakout,14,-0.008229837727121159,4,-0.012522205225982352,-0.029209006871642157,False
taker_like,GIGAUSD,1,atr_squeeze_expand,28,-0.20335338040068263,12,-0.09240787420770569,-0.3867577545476931,False
taker_like,GIGAUSD,1,quiet_then_burst,36,-0.08564783146994581,13,0.0009222051710784385,-0.09787384781917015,False
taker_like,GIGAUSD,1,higher_low_structure,146,-0.6490916872766543,65,-0.20546713537998396,-1.0071847602499455,False
taker_like,GIGAUSD,1,vwap_reclaim_trend,3,1.579503570481311e-05,2,0.0009154698120141802,0.0014026418089798259,False
taker_like,GIGAUSD,1,momentum_accel,122,-0.49701794066972693,58,-0.16292184627042483,-0.7776558129432322,False
taker_like,GIGAUSD,1,volume_spike_trend,83,-0.3779368792533797,36,-0.14393339299449326,-0.6324279323780178,False
taker_like,GIGAUSD,1,volume_climax_reversal,10,-0.06749068615962972,5,-0.03248204299688018,-0.14090551932516424,False
taker_like,GIGAUSD,1,triple_confluence,36,-0.2166814098596701,16,-0.08927049076703464,-0.3928671658734583,False
taker_like,GIGAUSD,1,dip_buy_confluence,0,0.0,0,0.0,0.0,False
taker_like,GIGAUSD,1,breakout_asymmetric,3,-0.007385800408523768,1,-0.0011822062169690728,-0.044479968750491206,False
taker_like,GIGAUSD,1,breakout_scalp,114,-0.5383579411779832,56,-0.24529002609770212,-0.9721568525588927,False
taker_like,GIGAUSD,3,momentum_breakout,16,-0.0640340127338771,7,-0.025298510859094514,-0.11140770826026632,False
taker_like,GIGAUSD,3,momentum_breakout_trail,48,-0.10494701078901425,22,0.008628575844909947,-0.10037901548926854,False
taker_like,GIGAUSD,3,macd_trend_long,0,0.0,0,0.0,0.0,False
taker_like,GIGAUSD,3,rsi_momentum_thrust,72,-0.21862072806440513,33,-0.07474929676514697,-0.35297811255507594,False
taker_like,GIGAUSD,3,rsi_oversold_trend,1,0.00874680388837401,0,0.0,0.00874680388837401,False
taker_like,GIGAUSD,3,bb_lower_bounce,10,-0.09382444442239524,4,-0.04795983515511881,-0.21803854412592272,False
taker_like,GIGAUSD,3,deep_vwap_pullback,30,-0.10417708168185247,10,-0.00150140999206827,-0.12134480036774778,False
taker_like,GIGAUSD,3,ema_fast_bounce,167,-0.931516343329489,75,-0.39717406594058025,-1.6054906284569201,False
taker_like,GIGAUSD,3,red_streak_reversal,8,-0.0676325268278547,1,-0.010927438373876885,-0.1301752660586597,False
taker_like,GIGAUSD,3,bb_squeeze_breakout,14,-0.031091341568904807,4,0.014103711942395791,-0.01675780685263705,False
taker_like,GIGAUSD,3,atr_squeeze_expand,24,-0.08017698834966136,12,0.009591426251502222,-0.07774754258812012,False
taker_like,GIGAUSD,3,quiet_then_burst,39,-0.18412025511968888,13,-0.07628013404803324,-0.3256890199950421,False
taker_like,GIGAUSD,3,higher_low_structure,127,-0.6839653353937207,54,-0.19177147800052297,-1.0266989373658963,False
taker_like,GIGAUSD,3,vwap_reclaim_trend,6,0.002528984702047654,3,0.01907811117314928,0.03244184728878458,False
taker_like,GIGAUSD,3,momentum_accel,111,-0.5231742608372438,46,-0.14734763182710142,-0.7860194315732875,False
taker_like,GIGAUSD,3,volume_spike_trend,84,-0.1998278682564093,35,-0.04793571542405517,-0.2892214397265171,False
taker_like,GIGAUSD,3,volume_climax_reversal,11,-0.11690286364089864,6,-0.06116145973400411,-0.31014601962030486,False
taker_like,GIGAUSD,3,triple_confluence,28,-0.09175604686449457,13,0.015977462536070575,-0.08217164593629872,False
taker_like,GIGAUSD,3,dip_buy_confluence,0,0.0,0,0.0,0.0,False
taker_like,GIGAUSD,3,breakout_asymmetric,3,-0.017283753760920728,1,-0.013068999999999997,-0.044771010378182804,False
taker_like,GIGAUSD,3,breakout_scalp,102,-0.5188078373384107,41,-0.19370300792064132,-0.8764818779161874,False
taker_like,GIGAUSD,5,momentum_breakout,11,-0.052826552909807534,5,-0.06246421685061598,-0.15786300687551888,False
taker_like,GIGAUSD,5,momentum_breakout_trail,45,-0.038388282432919474,22,0.107206737322591,0.11918190824204974,False
taker_like,GIGAUSD,5,macd_trend_long,0,0.0,0,0.0,0.0,False
taker_like,GIGAUSD,5,rsi_momentum_thrust,72,-0.3172215867393763,29,-0.0864646143140263,-0.48197320970400176,False
taker_like,GIGAUSD,5,rsi_oversold_trend,0,0.0,0,0.0,0.0,False
taker_like,GIGAUSD,5,bb_lower_bounce,6,-0.0447516197977581,3,-0.012432780399891152,-0.08383202733611322,False
taker_like,GIGAUSD,5,deep_vwap_pullback,21,-0.02449714759378907,9,0.006911394196335352,-0.018174679816429222,False
taker_like,GIGAUSD,5,ema_fast_bounce,166,-0.8149413957605403,69,-0.32114556985150455,-1.3581748942939138,False
